factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
0.5,5.0,10.0,0.5,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.0,0.0,0.0,0.0,0.0
0.5,5.0,10.0,0.5,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.33331755963651666,0.0019249011514749,0.0013768956658930394,0.33333333333333337,-0.004732109045013643
0.5,5.0,10.0,0.5,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.3335187947880395,0.003311898026780057,0.0023690245265109307,0.3333333333333333,0.05563843641184785
0.5,5.0,10.0,0.5,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.7327493595631309,0.007018335247238813,0.005020265781597713,0.7333333333333334,-0.07963278684579174
0.5,5.0,10.0,0.5,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.26567390405727204,0.004442785980644751,0.0031779568299145885,0.26666666666666666,-0.37228597852298484
0.5,5.0,10.0,0.5,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.15693548311160782,0.0014317929989446148,0.0010241718506907673,0.15714285714285714,-0.13196529261320292
0.5,5.0,10.0,0.5,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.05689990534236198,0.0009129652558666517,0.0006530506270155941,0.05714285714285714,-0.42516565086653246
0.5,5.0,10.0,0.5,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.4670754555058589,0.002651518629682148,0.0018966503845907262,0.4666666666666667,0.0875976083983305
0.5,5.0,10.0,0.5,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.06598440726119233,0.002095479587517638,0.0014989116505071574,0.06666666666666667,-1.0233891082115087
0.5,5.0,10.0,0.5,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.9499103853048142,0.01291675039598387,0.009239444645780972,0.9448818897637795,0.5321824447595039
0.5,5.0,10.0,0.5,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.45268151399987644,0.009928276644299301,0.007101767834077298,0.44881889763779526,0.8606180315514217
0.5,5.0,10.0,0.5,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.1912183782180812,0.0021732180374206167,0.001554518523962784,0.19047619047619047,0.3896485644926284
0.5,5.0,10.0,0.5,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.0911240253577308,0.0018134170420766702,0.0012971502790046002,0.09047619047619047,0.7160280269656243
0.5,5.0,10.0,0.5,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.49722887130493776,0.003387832047442842,0.002423340678727012,0.49606299212598426,0.23502643766205464
0.5,5.0,10.0,0.5,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.008083939199491325,0.0007884159468481087,0.0005639596086813777,0.007874015748031496,2.666027833539823
0.5,5.0,10.0,0.5,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.9967268467534736,0.012215718628106276,0.008737991570071395,0.9970695970695971,-0.03437576645911855
0.5,5.0,10.0,0.5,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.49560813856681596,0.01039266075388387,0.007433945134354075,0.4971916971916972,-0.31850061733245033
0.5,5.0,10.0,0.5,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.19909553436356583,0.0020798045382194224,0.0014876991747782941,0.1994626282364436,-0.18404142977731192
